what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466826984588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466826984753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466826986120
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466826987619
executed,command,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse.shortcut.run",1466827013214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466827018114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466827018124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466827019547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466827024216
activated,view,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse.ResultView",1466827024232
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466827052319
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1466827056960
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466827075142
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1466827087054
activated,editor,,,"org.eclipse.ui.systemInPlaceEditor",1466827087232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466827096025
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1466827099359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466827100417
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1466827100733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1466827100735
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466827102928
activated,editor,,,"org.eclipse.ui.systemInPlaceEditor",1466827103504
activated,editor,,,"org.eclipse.ui.systemInPlaceEditor",1466827105074
activated,editor,,,"org.eclipse.ui.systemInPlaceEditor",1466827105686
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466827107547
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1466827119372
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1466827134922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466827146981
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1466827149844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466827151115
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1466827151124
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466827152790
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1466827155353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1466827171516
executed,command,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse.shortcut.run",1466827176651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466827180929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466827180944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466827182422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1466827191468
activated,view,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse.ResultView",1466827191529
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1466827202721
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466827220650
activated,editor,,,"org.eclipse.ui.systemInPlaceEditor",1466827220749
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466827220807
activated,editor,,,"org.eclipse.ui.systemInPlaceEditor",1466827222195
closed,editor,,,"org.eclipse.ui.systemInPlaceEditor",1466827222317
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466827224702
closed,editor,,,"org.eclipse.ui.systemInPlaceEditor",1466827224703
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466827226090
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1466827242319
